[ 2012-06-15T15:00:48+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.088761s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.036845s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.037014s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001674s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001767s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006600s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000600s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.011939s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000900s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.015930s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.014301s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.014405s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | NOTIC: [8] Undefined variable: arr_user a346e21a7a1151aa2da52b1592bdf73d.php 第 23 行.
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.100388s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.100473s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.001455s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.001801s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001328s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001452s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006277s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001467s ]
[ 2012-06-15T15:01:09+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001547s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run CheckRoute Behavior [ RunTime:0.002079s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002252s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002452s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002560s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005946s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000443s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.008072s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT * FROM `my_article` WHERE id='1' LIMIT 1   [ RunTime:0.000544s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000461s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.042464s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.042584s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | NOTIC: [8] Undefined variable: arr_user 7a4291e7fec30b75ae5b7c5a10dbc466.php 第 23 行.
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.103070s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.103155s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ContentReplace Behavior [ RunTime:0.001289s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run TokenBuild Behavior [ RunTime:0.001425s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001116s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.001355s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005468s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001247s ]
[ 2012-06-15T15:01:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001326s ]
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Run CheckRoute Behavior [ RunTime:0.001986s ]
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002145s ]
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001356s ]
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001451s ]
[ 2012-06-15T15:01:28+08:00 ] /me/message/ | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.082873s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.082986s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | NOTIC: [8] Undefined variable: arr_user f48447e2d26dab938e53bf08374802cf.php 第 23 行.
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.068061s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068147s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run ContentReplace Behavior [ RunTime:0.001405s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run TokenBuild Behavior [ RunTime:0.004594s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004261s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run ShowRuntime Behavior [ RunTime:0.017519s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029174s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.083961s ]
[ 2012-06-15T15:01:29+08:00 ] /me/message/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.084288s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run CheckRoute Behavior [ RunTime:0.001698s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001831s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001330s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001411s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001279s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001678s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | NOTIC: [8] Undefined variable: arr_user f48447e2d26dab938e53bf08374802cf.php 第 23 行.
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019703s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019785s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run ContentReplace Behavior [ RunTime:0.001189s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run TokenBuild Behavior [ RunTime:0.002112s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001115s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001208s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005863s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003600s ]
[ 2012-06-15T15:02:19+08:00 ] /me/message/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003768s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.002671s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002831s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001800s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001902s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006345s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000437s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.007003s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000643s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000280s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001356s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001441s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | NOTIC: [8] Undefined variable: arr_user a346e21a7a1151aa2da52b1592bdf73d.php 第 23 行.
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.029001s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029085s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.003078s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.005339s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000994s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001349s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011049s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001406s ]
[ 2012-06-15T15:02:28+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001501s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run CheckRoute Behavior [ RunTime:0.001716s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001852s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001346s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001425s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006157s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000631s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006170s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT * FROM `my_article` WHERE id='1' LIMIT 1   [ RunTime:0.000420s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000302s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.001420s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001502s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | NOTIC: [8] Undefined variable: arr_user 7a4291e7fec30b75ae5b7c5a10dbc466.php 第 23 行.
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.020662s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020746s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run ContentReplace Behavior [ RunTime:0.001849s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run TokenBuild Behavior [ RunTime:0.001182s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001195s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.001261s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005762s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001159s ]
[ 2012-06-15T15:02:31+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001237s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run CheckRoute Behavior [ RunTime:0.002341s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002487s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001365s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001444s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run LocationTemplate Behavior [ RunTime:0.003441s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003610s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | NOTIC: [8] Undefined variable: arr_user a4f647d3a8256d5aa7b5acedd8d4b932.php 第 23 行.
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run ParseTemplate Behavior [ RunTime:0.039656s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039763s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run ContentReplace Behavior [ RunTime:0.001199s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run TokenBuild Behavior [ RunTime:0.001225s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001026s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001216s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004891s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001368s ]
[ 2012-06-15T15:02:39+08:00 ] /me/user/register.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001449s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ route_check ] --START--
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run CheckRoute Behavior [ RunTime:0.002394s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002528s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002044s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002141s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001937s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002054s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | NOTIC: [8] Undefined variable: arr_user f48447e2d26dab938e53bf08374802cf.php 第 23 行.
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024941s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025027s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run ContentReplace Behavior [ RunTime:0.002678s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run TokenBuild Behavior [ RunTime:0.002938s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001435s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001968s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009329s ]
[ 2012-06-15T15:03:13+08:00 ] /me/message/ | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:03:14+08:00 ] /me/message/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.057050s ]
[ 2012-06-15T15:03:14+08:00 ] /me/message/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.057163s ]
